YEAR,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Length,Shape_Area,ALARM_DATE_Con,CONT_DATE_Conv
2015,California,Shasta-Trinity National Forest,161,SHEILL,USDA Forest Service,3 - Infrared,1 - Lightning,2067,Suppression (Wildfire),GeoMAC says Fork Comlex #2067  Individual fire inci number unknown,15378,15390.65,58615.09788,62283745.37,7/30/2015,10/30/2015
2015,California,Shasta-Trinity National Forest,57,CASTLE,USDA Forest Service,3 - Infrared,4 - Campfire,2108,Suppression (Wildfire),GeoMAC says Castle Complex #2108 Individual fire inci number unknown,0.8,14253.95,56935.64932,57683694.17,6/23/2015,6/23/2015
2015,California,Shasta-Trinity National Forest,171,PATTISON,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,13698,12916.57,72610.73522,52271514.32,7/30/2015,8/18/2015
2015,California,Six Rivers National Forest,66,BEAR,USDA Forest Service,3 - Infrared,1 - Lightning,1488,Suppression (Wildfire),Gasquet Complex #1488. Individual fire inci number unknown,11609,11616.88,61419.99615,47011847.36,7/31/2015,10/31/2015
2015,California,Six Rivers National Forest,82,PEAK,USDA Forest Service,3 - Infrared,1 - Lightning,1488,Suppression (Wildfire),Gasquet Complex #1488  Individual fire inci number unknown,11516,11524.46,88815.63935,46637854.51,8/1/2015,10/31/2015
2015,California,Six Rivers National Forest,88,BLAKE,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1476,Suppression (Wildfire),Route Complex #1476. No Contain Date in Firestat declared out 08-06-15 ,11431,11439.25,55297.4792,46293008.58,7/30/2015,<Null>
2015,California,Six Rivers National Forest,51,PICKETT,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1433,Suppression (Wildfire),Mad River Complex #1433.  No Contain Date in Firestat,11004.3,11012.8,45448.73299,44567230.87,7/30/2015,9/1/2015
2015,California,Northern CA District - BLM,,DODGE,Bureau of Land Management,2 - GPS Air,2 - Equipment Use,3806,Suppression (Wildfire),FIMT,10570,10517.52,66614.21768,42562880.92,8/3/2015,8/17/2015
2015,California,Shasta-Trinity National Forest,177,RAIL,USDA Forest Service,3 - Infrared,1 - Lightning,2067,Suppression (Wildfire),GeoMAC says Fork Comlex #2067  Individual fire inci number unknown,8669,8669.771,45482.37517,35085320.96,7/30/2015,10/30/2015
2015,California,Six Rivers National Forest,90,GOBBLER,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1433,Suppression (Wildfire),Mad River Complex #1433.  No Contain Date in Firestat,8298.7,8305.019,36578.05755,33609216.8,7/30/2015,9/1/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,WRAGG ,California Department of Forestry and Fire Protection,3 - Infrared,10 - Vehicle,6678,Suppression (Wildfire),"$21,655,000.00 Million (Cost)",8051,8049.334,36911.80144,32574501.58,7/22/2015,8/5/2015
2015,California,Six Rivers National Forest,79,NICKOWITZ,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1470,Suppression (Wildfire),<Null>,7570,7576.045,52262.35756,30659167.4,8/1/2015,11/2/2015
2015,California,Sequoia National Forest,44,CABIN SEQ,USDA Forest Service,3 - Infrared,1 - Lightning,2313,Suppression (Wildfire),<Null>,6960,6996.186,50679.03411,28312559.68,7/19/2015,11/23/2015
2015,California,Six Rivers National Forest,46,GROVES,USDA Forest Service,3 - Infrared,1 - Lightning,2066,Suppression (Wildfire),River Complex #2066. No Contain Date in Firestat,6797.8,6803.031,52926.61307,27530887.84,7/30/2015,10/30/2015
2015,California,San Bernardino CDF,<Null>,ROUND,California Department of Forestry and Fire Protection,2 - GPS Air,9 - Miscellaneous,1662,Suppression (Wildfire),,7000,6537.519,29215.26297,26456398.95,2/7/2015,2/9/2015
2015,California,Shasta-Trinity National Forest,142,PEAK SHA,USDA Forest Service,3 - Infrared,1 - Lightning,2067,Suppression (Wildfire),GeoMAC says Fork Comlex #2067  Individual fire inci number unknown,6269,6273.949,24557.20311,25389771.54,7/30/2015,10/30/2015
2015,California,Sierra National Forest,,WILLOW,USDA Forest Service,3 - Infrared,8 - Playing with fire,1689,Suppression (Wildfire),Fire not in Firestat. CalFire incident number = 14437,4392,5701.341,37723.15451,23072509.4,7/25/2015,8/20/2015
2015,California,Six Rivers National Forest,76,COON,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1488,Suppression (Wildfire),Gasquet Complex #1488  Individual fire inci number unknown,5679,5682.627,31839.27373,22996775.54,8/1/2015,10/31/2015
2015,California,Modoc National Forest,<Null>,FROG,USDA Forest Service,8 - Unknown,1 - Lightning,570,Suppression (Wildfire),FIMT,4863,4862.165,36044.04513,19676481.89,7/30/2015,8/7/2015
2015,California,San Bernardino National Forest,52,NORTH,USDA Forest Service,7 - Mixed Collection Methods,9 - Miscellaneous,90001,Suppression (Wildfire), ,4250,4249.093,29084.94807,17195469.45,7/17/2015,7/17/2015
2015,California,Shasta-Trinity National Forest,191,PELLETREAU,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,0.1,4109.539,29779.22339,16630715.16,7/30/2015,10/9/2015
2015,California,Inyo National Forest,33,WALKER,USDA Forest Service,<Null>,9 - Miscellaneous,1319,<Null>,IR heat perimeter; WFDSS,3676,3815.886,32478.19523,15442341.23,8/14/2015,10/31/2015
2015,California,Shasta-Trinity National Forest,158,DOG,USDA Forest Service,3 - Infrared,1 - Lightning,2067,Suppression (Wildfire),GeoMAC says Fork Comlex #2067  Individual fire inci number unknown,3273,3276.482,24926.00702,13259453.76,7/30/2015,10/5/2015
2015,California,Santa Clara CDF,<Null>,TESLA,California Department of Forestry and Fire Protection,8 - Unknown,14 - Unknown / Unidentified,5524,Suppression (Wildfire),,2850,2989.925,18094.58669,12099798.74,8/19/2015,9/1/2015
2015,California,Shasta-Trinity National Forest,140,BLUE,USDA Forest Service,3 - Infrared,1 - Lightning,2067,Suppression (Wildfire),GeoMAC says Fork Comlex #2067  Individual fire inci number unknown,2826,2828.028,21945.66863,11444624.59,7/30/2015,10/30/2015
2015,California,San Luis Obispo CDF,<Null>,CUESTA,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,10 - Vehicle,8555,Suppression (Wildfire), ,2446,2445.945,21086.4033,9898387.026,8/16/2015,8/28/2015
2015,California,Nevada - Yuba - Placer CDF,<Null>,LOWELL,California Department of Forestry and Fire Protection,8 - Unknown,14 - Unknown / Unidentified,17851,Suppression (Wildfire),,2304,2315.63,22812.09672,9371020.352,7/25/2015,8/12/2015
2015,California,San Luis Obispo CDF,<Null>,PARKHILL,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,10 - Vehicle,6113,Suppression (Wildfire),,1791,1812.315,15864.38234,7334178.721,6/20/2015,6/24/2015
2015,California,Humboldt - Del Norte CDF,<Null>,PINE 1-44,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,1773.247,14897.55478,7176074.635,7/30/2015,9/8/2015
2015,California,Madera - Mariposa CDF,<Null>,MCCABE,California Department of Forestry and Fire Protection,1 - GPS Ground,1 - Lightning,13970,Suppression (Wildfire),<Null>,1600,1728.974,19103.38684,6996908.3,7/18/2015,7/22/2015
2015,California,Shasta-Trinity National Forest,29,SADDLE,USDA Forest Service,3 - Infrared,1 - Lightning,1371,Suppression (Wildfire),<Null>,1543,1542.967,22068.11839,6244164.032,6/9/2015,10/30/2015
2015,California,Six Rivers National Forest,75,EAST,USDA Forest Service,3 - Infrared,1 - Lightning,2066,Suppression (Wildfire),River Complex #2066. No Contain Date in Firestat,1529.8,1530.955,15134.89936,6195554.274,7/30/2015,10/30/2015
2015,California,Angeles National Forest,72,CABIN,USDA Forest Service,7 - Mixed Collection Methods,9 - Miscellaneous,3611,Suppression (Wildfire),,1700,1461.844,12208.07161,5915874.076,8/14/2015,9/2/2015
2015,California,Six Rivers National Forest,92,BUCK,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1476,Suppression (Wildfire),Route Complex #1476. No Contain Date in Firestat declared out 12-31-15 ,1420,1420.48,13714.22098,5748477.206,7/30/2015,<Null>
2015,California,Humboldt - Del Norte CDF,<Null>,STEELHEAD 1-54,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,1403.444,12918.77526,5679534.746,7/30/2015,9/8/2015
2015,California,Ventura County,,SOLIMAR,Contract County,7 - Mixed Collection Methods,11 - Powerline,9187,Suppression (Wildfire), ,1288,1287.388,13194.06557,5209874.989,12/25/2015,12/29/2015
2015,California,Monterey - San Benito CDF,<Null>,TASSAJARA,California Department of Forestry and Fire Protection,1 - GPS Ground,7 - Arson,4217,Suppression (Wildfire),,1100,1075.519,10990.10198,4352472.054,9/19/2015,9/29/2015
2015,California,Riverside CDF,<Null>,HIGHWAY,California Department of Forestry and Fire Protection,1 - GPS Ground,4 - Campfire,44605,Suppression (Wildfire), ,1049,1048.689,14287.50232,4243895.001,4/18/2015,4/24/2015
2015,California,Butte CDF,<Null>,LUMPKIN,California Department of Forestry and Fire Protection,1 - GPS Ground,7 - Arson,13357,Suppression (Wildfire),<Null>,1042,1045.756,10669.16286,4232025.341,9/11/2015,9/21/2015
2015,California,Madera - Mariposa CDF,<Null>,CORRINE,California Department of Forestry and Fire Protection,1 - GPS Ground,11 - Powerline,11662,Suppression (Wildfire),,880,921.6489,13148.85478,3729780.85,6/18/2015,6/24/2015
2015,California,Butte CDF,<Null>,MERIDIAN,California Department of Forestry and Fire Protection,1 - GPS Ground,2 - Equipment Use,14554,Suppression (Wildfire),<Null>,860,901.9863,14412.2749,3650208.83,10/13/2015,10/13/2015
2015,California,Six Rivers National Forest,87,FEEDER,USDA Forest Service,3 - Infrared,1 - Lightning,1488,Suppression (Wildfire),Gasquet Complex #1488  Individual fire inci number unknown,897,897.9925,9309.788826,3634046.641,8/2/2015,9/5/2015
2015,California,Humboldt - Del Norte CDF,<Null>,DOBBYN 1-57,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,787.353,9308.66601,3186304.464,7/30/2015,9/8/2015
2015,California,Shasta-Trinity National Forest,148,DYER,USDA Forest Service,3 - Infrared,1 - Lightning,2066,Suppression (Wildfire),GeoMAC says River Comlex #2066 Individual fire inci number unknown,100,757.9618,9241.86603,3067362.423,7/30/2015,8/6/2015
2015,California,Monterey - San Benito CDF,<Null>,CIENEGA,California Department of Forestry and Fire Protection,1 - GPS Ground,11 - Powerline,4582,Suppression (Wildfire),,690,686.7833,9913.132583,2779313.509,10/12/2015,10/16/2015
2015,California,Shasta-Trinity National Forest,172,CLARK,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,0.74,675.5582,9646.390432,2733887.088,7/30/2015,8/5/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,ELK,USDA Forest Service,2 - GPS Air,2 - Equipment Use,8268,Suppression (Wildfire),3 Million (Cost),700,670.2086,10038.60164,2712238.059,9/2/2015,9/8/2015
2015,California,Six Rivers National Forest,42,CASTLE 1,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,2108,Suppression (Wildfire),South Complex #2108. No Contain Date in Firestat ,662,662.1591,10839.99652,2679662.951,7/30/2015,10/30/2015
2015,California,,<Null>,LOCUST,Local Response Area,6 - Hand Drawn,7 - Arson,17997,Suppression (Wildfire),Sac Metro Incidnet that spread into Placer County. ,<Null>,644.1685,7209.852029,2606857.361,7/27/2015,7/27/2015
2015,California,Six Rivers National Forest,85,SUMMIT,USDA Forest Service,3 - Infrared,1 - Lightning,1488,Suppression (Wildfire),Gasquet Complex #1488  Individual fire inci number unknown,639.5,639.9178,13273.32388,2589655.38,8/2/2015,9/5/2015
2015,California,Riverside CDF,<Null>,ANZA,California Department of Forestry and Fire Protection,1 - GPS Ground,10 - Vehicle,90069,Suppression (Wildfire), ,500,543.5366,10307.64,2199614.769,8/10/2015,8/15/2015
2015,California,Inyo National Forest,,VAN DYKE,USDA Forest Service,7 - Mixed Collection Methods,14 - Unknown / Unidentified,107,Suppression (Wildfire),initially called Point Ranch,509,512.4335,17000.05907,2073745.022,2/6/2015,2/13/2015
2015,California,Shasta-Trinity National Forest,196,KERLIN,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,0.1,500.9492,10216.77788,2027269.304,7/30/2015,10/10/2015
2015,California,Sierra National Forest,1058,SKY,USDA Forest Service,3 - Infrared,2 - Equipment Use,1047,Suppression (Wildfire),Fire not in Firestat. Fire Num Unknown,500,498.9207,9132.776722,2019060.267,6/18/2015,6/21/2015
2015,California,Tuolumne - Calaveras CDF,<Null>,TRIPLE FIRE,California Department of Forestry and Fire Protection,6 - Hand Drawn,1 - Lightning,383,Suppression (Wildfire), ,430,427.9607,5465.99559,1731895.568,7/21/2015,7/21/2015
2015,California,Los Angeles County,<Null>,POPPY,Contract County,1 - GPS Ground,14 - Unknown / Unidentified,154023,Suppression (Wildfire),<Null>,414,410.6794,14798.20263,1661960.446,6/5/2015,6/6/2015
2015,California,Yosemite National Park,123,TENAYA,National Park Service,1 - GPS Ground,1 - Lightning,123,Suppression (Wildfire),Suppressed Human Caused,0,408.9148,9481.848201,1654819.572,7/9/2015,9/15/2015
2015,California,Shasta-Trinity National Forest,165,OLSEN,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,37,400.2011,8094.545917,1619556.407,7/30/2015,8/13/2015
2015,California,Siskiyou CDF,<Null>,YORK,California Department of Forestry and Fire Protection,1 - GPS Ground,1 - Lightning,5078,Suppression (Wildfire),<Null>,394,398.4229,5842.986475,1612360.489,7/4/2015,7/4/2015
2015,California,Butte CDF,<Null>,SWEDES,California Department of Forestry and Fire Protection,1 - GPS Ground,7 - Arson,10917,Suppression (Wildfire),<Null>,400,390.0219,7302.25276,1578362.578,7/25/2015,8/16/2015
2015,California,Shasta-Trinity National Forest,156,ROAD,USDA Forest Service,3 - Infrared,1 - Lightning,2066,Suppression (Wildfire),GeoMAC says River Comlex #2066 Individual fire inci number unknown,0.25,378.9736,8407.364805,1533651.859,7/30/2015,8/7/2015
2015,California,Los Angeles County,<Null>,CALGROVE,Contract County,1 - GPS Ground,14 - Unknown / Unidentified,173220,Suppression (Wildfire),<Null>,390,364.396,9094.816227,1474658.257,6/24/2015,6/26/2015
2015,California,Amador - El Dorado CDF,<Null>,IONE,California Department of Forestry and Fire Protection,1 - GPS Ground,7 - Arson,17193,Suppression (Wildfire),<Null>,357,357.5903,7939.302461,1447116.536,7/2/2015,7/2/2015
2015,California,Yosemite National Park,78,MIDDLE,National Park Service,1 - GPS Ground,1 - Lightning,78,Suppression (Wildfire),Managed Lightning Ignited,0,324.7684,5953.790573,1314291.038,7/27/2015,11/8/2015
2015,California,Humboldt - Del Norte CDF,<Null>,BLOCKSBURG 1-58,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,283.831,5401.278302,1148623.265,7/30/2015,9/8/2015
2015,California,Humboldt - Del Norte CDF,<Null>,WILDCAT 1-51,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,283.2199,5932.419544,1146150.246,7/30/2015,9/8/2015
2015,California,Los Padres National Forest,23,CHORRO,USDA Forest Service,1 - GPS Ground,2 - Equipment Use,2288,Suppression (Wildfire),VNC inc #008558 ?,282,273.8199,8217.503852,1108109.865,8/2/2015,8/11/2015
2015,California,Angeles National Forest,73,WARM,USDA Forest Service,1 - GPS Ground,7 - Arson,3651,Suppression (Wildfire),,300,270.0217,5809.63864,1092739.018,8/16/2015,8/18/2015
2015,California,Sequoia - Kings Canyon NP,44,BIG FIVE,National Park Service,1 - GPS Ground,1 - Lightning,44,Suppression (Wildfire),GPS Air,<Null>,264.5698,6112.379873,1070676.119,6/17/2015,11/2/2015
2015,California,Six Rivers National Forest,56,TIERNEY,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1476,Suppression (Wildfire),Route Complex #1476. No Contain Date in Firestat declared out 12-31-15,247.7,247.8912,7721.260618,1003179.915,7/30/2015,<Null>
2015,California,Shasta-Trinity National Forest,164,YORK,USDA Forest Service,3 - Infrared,1 - Lightning,2108,Suppression (Wildfire),GeoMAC says South Complex #2108 Individual fire inci number unknown,316,243.6706,7010.423995,986099.837,7/30/2015,8/30/2015
2015,California,Los Angeles County,<Null>,LINCOLN,Contract County,7 - Mixed Collection Methods,14 - Unknown / Unidentified,227348,Suppression (Wildfire),<Null>,100,234.188,8750.280036,947725.1269,8/16/2015,8/16/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,PACHECO,California Department of Forestry and Fire Protection,1 - GPS Ground,10 - Vehicle,6036,Suppression (Wildfire),,217,217.7269,4131.926132,881109.6422,9/9/2015,9/13/2015
2015,California,Orange County,15069367,<Null>,Contract County,7 - Mixed Collection Methods,2 - Equipment Use,,Suppression (Wildfire),NB 241@SANTIAGO CANYON RD NEAR NB 133/HICKS HAUL RD ,180,213.5105,6825.666664,864046.276,7/13/2015,7/14/2015
2015,California,Santa Barbara County,<Null>,MESA,Contract County,1 - GPS Ground,8 - Playing with fire,7898,Suppression (Wildfire),<Null>,211,210.8346,6255.820781,853217.4464,6/29/2015,6/30/2015
2015,California,Shasta-Trinity National Forest,4,STEPHENS,USDA Forest Service,1 - GPS Ground,5 - Debris,,Suppression (Wildfire),No perimeter in this location in GeoMAC. Inci Number Unknown,209,209.6283,5890.025964,848335.5483,2/24/2015,3/3/2015
2015,California,Tuolumne - Calaveras CDF,<Null>,BIG CREEK,California Department of Forestry and Fire Protection,1 - GPS Ground,5 - Debris,7806,Suppression (Wildfire),WFDSS; GPS ground,<Null>,204.3927,5739.944396,827147.7721,7/29/2015,9/9/2015
2015,California,Humboldt - Del Norte CDF,<Null>,BLUFORD 1-55,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,202.7018,5335.169554,820304.9361,7/30/2015,9/8/2015
2015,California,Ventura County,,RUSTIC,Contract County,2 - GPS Air,<Null>,54109,Suppression (Wildfire),modified per orthophoto,186,186.1511,4433.60711,753326.6885,8/14/2015,8/16/2015
2015,California,Riverside CDF,<Null>,MERWIN,Local Response Area,2 - GPS Air,14 - Unknown / Unidentified,74316,Suppression (Wildfire),CA Dept of Fish and Wildlife land,180,181.437,3773.14737,734249.3461,7/1/2015,7/4/2015
2015,California,Shasta - Trinity CDF,<Null>,CHINA,California Department of Forestry and Fire Protection,1 - GPS Ground,2 - Equipment Use,7251,Suppression (Wildfire), ,180,175.0157,4326.126077,708263.544,7/29/2015,7/29/2015
2015,California,Angeles National Forest,53,PINES,USDA Forest Service,1 - GPS Ground,9 - Miscellaneous,3128,Suppression (Wildfire),,200,174.9406,6819.318234,707959.6795,7/17/2015,7/20/2015
2015,California,Shasta-Trinity National Forest,170,MINERS,USDA Forest Service,3 - Infrared,1 - Lightning,,Suppression (Wildfire),GeoMAC says Fork Complex 2067 and South Complex 2108,124,173.9841,3708.131989,704088.5195,7/30/2015,8/18/2015
2015,California,San Diego CDF,<Null>,WILDCAT,California Department of Forestry and Fire Protection,1 - GPS Ground,14 - Unknown / Unidentified,12844,Suppression (Wildfire),Undertermined,170,170.9495,6304.842617,691808.1715,6/17/2015,6/18/2015
2015,California,Ventura County,,RIVER,Contract County,1 - GPS Ground,1 - Lightning,41060,Suppression (Wildfire), ,164,164.7058,7784.594197,666540.5802,6/22/2015,6/24/2015
2015,California,Tehama - Glenn CDF,<Null>,BLACK,California Department of Forestry and Fire Protection,1 - GPS Ground,14 - Unknown / Unidentified,5594,Suppression (Wildfire),<Null>,170,163.283,6175.449039,660782.7051,7/4/2015,7/4/2015
2015,California,Sequoia - Kings Canyon NP,185,BURNT,National Park Service,1 - GPS Ground,1 - Lightning,185,Suppression (Wildfire),<Null>,<Null>,160.7299,3206.359337,650450.9327,10/20/2015,11/13/2015
2015,California,Six Rivers National Forest,89,CHANCE,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,1476,Suppression (Wildfire),Route Complex #1476. No Contain Date in Firestat ,160,160.0666,7311.36237,647766.5795,7/30/2015,10/30/2015
2015,California,Humboldt - Del Norte CDF,<Null>,QUEEN,California Department of Forestry and Fire Protection,1 - GPS Ground,7 - Arson,5420,Suppression (Wildfire),,<Null>,159.3774,9617.105601,644977.3558,7/25/2015,8/1/2015
2015,California,Cleveland National Forest,37,CUTCA,USDA Forest Service,1 - GPS Ground,1 - Lightning,2466,Suppression (Wildfire),,150.44,150.418,4823.65332,608719.9311,7/16/2015,8/1/2015
2015,California,Humboldt - Del Norte CDF,<Null>,WINCHESTER 1-47,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,1 - Lightning,5606,Suppression (Wildfire),HUMBOLDT COMPLEX,<Null>,147.2519,3219.618845,595907.3041,7/30/2015,9/8/2015
2015,California,Humboldt - Del Norte CDF,<Null>,HORSE FIRE,California Department of Forestry and Fire Protection,7 - Mixed Collection Methods,14 - Unknown / Unidentified,6254,Suppression (Wildfire),,138,145.9043,5529.586035,590453.6127,8/18/2015,10/1/2015
2015,California,Nevada - Yuba - Placer CDF,<Null>,COOK,California Department of Forestry and Fire Protection,1 - GPS Ground,18 - Escaped Prescribed Burn,11905,Suppression (Wildfire),,<Null>,139.9756,4477.638694,566461.1663,6/18/2015,6/24/2015
2015,California,Sonoma - Lake - Napa CDF,<Null>,PETERSON ,California Department of Forestry and Fire Protection,1 - GPS Ground,2 - Equipment Use,7900,Suppression (Wildfire),$1.5 Million (Cost),250,138.7429,3597.58116,561472.6053,8/22/2015,8/27/2015
2015,California,Fresno-Kings CDF,<Null>,CREEK,California Department of Forestry and Fire Protection,3 - Infrared,<Null>,14679,Suppression (Wildfire),IR heat perimeter,<Null>,137.3257,3952.200661,555737.3792,9/9/2015,<Null>
2015,California,Madera - Mariposa CDF,<Null>,RED,California Department of Forestry and Fire Protection,1 - GPS Ground,5 - Debris,11861,Suppression (Wildfire),<Null>,134,134.0251,3939.681442,542380.5067,6/21/2015,6/24/2015
2015,California,Plumas National Forest,11,WARD,USDA Forest Service,6 - Hand Drawn,14 - Unknown / Unidentified,303,Suppression (Wildfire),No Contain Date in Firestat,137,129.2855,5738.669477,523200.0097,6/2/2015,<Null>
2015,California,Shasta-Trinity National Forest,153,PANTHER,USDA Forest Service,3 - Infrared,1 - Lightning,,Suppression (Wildfire),GeoMAC says River Complex #2066 & Fork complex 2067,500,128.691,4203.013367,520794.1829,7/30/2015,8/9/2015
2015,California,Shasta - Trinity CDF,<Null>,DEMOCRAT,California Department of Forestry and Fire Protection,1 - GPS Ground,14 - Unknown / Unidentified,8300,Suppression (Wildfire),<Null>,128,123.6968,4549.456117,500583.0181,8/25/2015,8/25/2015
2015,California,San Bernardino National Forest,38,STERLING,USDA Forest Service,1 - GPS Ground,9 - Miscellaneous,,Suppression (Wildfire),No perimeter in this location in GeoMAC. Inci Number Unknown,118,118.0251,4640.796547,477630.6831,6/25/2015,6/28/2015
2015,California,Mendocino CDF,<Null>,CLUB,California Department of Forestry and Fire Protection,5 - Photo Interpretation,5 - Debris,4038,Suppression (Wildfire),<Null>,120,111.9445,2876.114233,453023.5059,4/2/2015,4/25/2015
2015,California,Northern CA District - BLM,,SHINN,Bureau of Land Management,1 - GPS Ground,1 - Lightning,3008,Suppression (Wildfire),,111,110.8015,3298.21586,448397.7901,6/30/2015,7/6/2015
2015,California,Tuolumne - Calaveras CDF,<Null>,OAK FLAT,California Department of Forestry and Fire Protection,<Null>,<Null>,9491,Suppression (Wildfire),<Null>,<Null>,107.9033,3193.070484,436669.1174,9/8/2015,<Null>
2014,California,Klamath National Forest,<Null>,FRYING PAN,USDA Forest Service,3 - Infrared,1 - Lightning,6008,Suppression (Wildfire),Happy Camp Cpx #5956; Merged Delta/Faulkstein/Man,133284.2,133177.4,300331.1584,538949738.2,8/11/2014,9/30/2014
2014,California,Eldorado National Forest,<Null>,KING,USDA Forest Service,3 - Infrared,7 - Arson,23461,Suppression (Wildfire),<Null>,97717,97684.55,283242.4647,395315329.7,9/13/2014,10/10/2014
2014,California,Lassen National Forest,<Null>,BALD,USDA Forest Service,7 - Mixed Collection Methods,1 - Lightning,3479,Suppression (Wildfire),<Null>,39751,39752.2,87227.37241,160871423.8,7/30/2014,8/15/2014
